,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
720,0,616,13.0,99.0,86.0,0,68,13.0,33.5,20.5,0,28,13.0,42.5,29.5,0.0,0.0016338200755641784,13.0,39.0,26.0,2,17,0,20,84,54
721,56,56,63.5,63.5,0.0,38,38,63.5,63.5,0.0,38,38,64.0,64.0,0.0,0.010926171755335444,0.010926171755335444,71.0,71.0,0.0,-1,3,5,60,25,98
722,16,16,41.0,41.0,0.0,28,28,37.5,37.5,0.0,16,16,41.0,41.0,0.0,0.0004765308553728854,0.0004765308553728854,35.0,35.0,0.0,-1,6,1,69,4,45
723,0,101,13.0,78.0,65.0,0,5,13.0,26.5,13.5,0,1,13.0,26.5,13.5,0.0,3.4037918240920386e-05,13.0,27.0,14.0,5,5,0,88,91,95
724,346,346,96.0,96.0,0.0,184,184,96.0,96.0,0.0,184,184,96.0,96.0,0.0,0.03686306545491678,0.03686306545491678,94.0,94.0,0.0,-1,7,27,43,10,81
725,54,54,54.5,54.5,0.0,54,54,60.5,60.5,0.0,54,54,61.0,61.0,0.0,0.006535280302256714,0.006535280302256714,55.5,55.5,0.0,-1,4,7,67,62,36
726,187,393,92.0,100.0,8.0,72,72,82.5,82.5,0.0,72,72,82.5,82.5,0.0,0.024303073624017155,0.02569862827189489,88.0,88.0,0.0,3,3,19,64,15,70
727,16,118,42.5,83.0,40.5,19,20,43.0,43.5,0.5,16,20,42.5,48.0,5.5,0.0016338200755641784,0.0030293747234419145,40.0,48.0,8.0,4,3,1,94,78,70
728,92,298,66.0,96.0,30.0,86,86,63.0,63.0,0.0,86,86,66.0,66.0,0.0,0.012764219340345145,0.013887470642295518,74.0,74.5,0.5,3,6,8,74,20,52
729,207,823,92.0,100.0,8.0,144,144,90.0,90.0,0.0,144,144,90.0,90.0,0.0,0.019912182170938427,0.02923857176895061,82.0,89.0,7.0,2,6,15,44,19,39
730,2,208,30.0,93.0,63.0,8,12,31.0,34.5,3.5,2,10,30.0,39.5,9.5,0.00010211375472276115,0.0016678579938050988,30.0,44.0,14.0,3,4,1,72,65,51
731,666,2266,100.0,100.0,0.0,408,408,100.0,100.0,0.0,408,408,100.0,100.0,0.0,0.050274005241839406,0.07056060451342795,99.0,100.0,1.0,1,12,40,6,3,9
732,100,100,70.5,70.5,0.0,100,100,46.0,46.0,0.0,100,100,70.5,70.5,0.0,0.0283876238129276,0.03298274277545185,90.0,91.0,1.0,3,14,12,17,37,34
733,52,258,53.0,94.0,41.0,92,92,51.0,51.0,0.0,52,58,53.0,54.0,1.0,0.0026889955410327104,0.0034037918240920387,48.0,50.0,2.0,3,8,3,15,43,42
