,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
188,97,198,74.5,92.0,17.5,48,48,64.0,64.0,0.0,48,48,65.5,65.5,0.0,5,3,13,87,33,60
189,0,102,13.0,70.0,57.0,0,12,13.0,26.0,13.0,0,2,13.0,26.5,13.5,4,11,0,5,85,60
190,180,386,96.0,100.0,4.0,32,32,76.5,76.5,0.0,32,32,76.5,76.5,0.0,3,2,27,99,10,21
191,2,103,25.5,71.0,45.5,8,8,26.0,26.0,0.0,2,3,25.5,26.0,0.5,5,6,1,40,68,58
192,252,458,93.0,100.0,7.0,158,158,95.0,95.0,0.0,158,158,95.0,95.0,0.0,3,6,16,40,18,64
193,56,56,53.0,53.0,0.0,132,132,74.0,74.0,0.0,56,56,53.0,53.0,0.0,-1,8,3,30,29,69
194,248,864,92.0,100.0,8.0,168,168,97.5,97.5,0.0,168,168,97.5,97.5,0.0,2,6,15,40,16,55
195,102,102,76.0,76.0,0.0,128,128,68.0,68.0,0.0,102,102,76.0,76.0,0.0,-1,8,8,15,17,67
196,16,16,45.0,45.0,0.0,34,34,46.5,46.5,0.0,16,16,45.0,45.0,0.0,-1,4,1,84,90,99
197,0,616,13.0,100.0,87.0,0,56,13.0,41.5,28.5,0,48,13.0,53.0,40.0,2,6,0,51,92,21
198,112,112,85.0,85.0,0.0,48,48,71.5,71.5,0.0,48,48,74.0,74.0,0.0,-1,3,17,96,6,45
199,128,128,79.0,79.0,0.0,290,290,84.0,84.0,0.0,128,128,79.0,79.0,0.0,-1,17,6,20,26,36
200,2,618,26.0,100.0,74.0,6,46,26.0,45.0,19.0,2,46,26.0,51.5,25.5,2,5,2,50,58,15
201,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,4,0,72,59,84
202,125,226,82.0,95.0,13.0,84,84,75.5,75.5,0.0,84,84,76.0,76.0,0.0,5,5,12,45,37,65
203,16,16,41.5,41.5,0.0,28,28,45.0,45.0,0.0,16,16,41.5,41.5,0.0,-1,3,1,82,90,67
204,22,228,44.5,94.0,49.5,40,40,41.5,41.5,0.0,22,28,44.5,49.0,4.5,3,5,2,63,83,94
