,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
844,0,206,166.5,952.0,785.5,0,58,166.5,533.0,366.5,0.0,0.0010211375472276116,198.0,808.5,610.5,3,15,0,32,831,144
845,38,38,697.5,697.5,0.0,172,172,881.0,881.0,0.0,0.0012594029749140542,0.0012594029749140542,827.0,827.0,0.0,-1,16,4,50,281,498
846,11,11,639.5,639.5,0.0,18,18,745.5,745.5,0.0,0.00030634126416828345,0.00030634126416828345,644.5,644.5,0.0,-1,3,6,708,379,513
847,16,632,544.5,992.0,447.5,50,88,511.5,683.5,172.0,6.807583648184077e-05,0.0008169100377820892,453.5,767.5,314.0,2,14,3,268,321,415
848,10,112,525.0,900.0,375.0,21,22,428.0,438.5,10.5,6.807583648184077e-05,0.0002382654276864427,469.0,599.5,130.5,4,9,4,217,581,197
849,0,206,166.5,965.0,798.5,0,16,166.5,471.0,304.5,0.0,0.0002042275094455223,203.0,583.5,380.5,3,6,0,345,863,168
850,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,205.5,205.5,0.0,-1,4,0,559,635,657
851,72,173,913.0,973.0,60.0,18,18,764.5,764.5,0.0,0.0014636304843595766,0.0015317063208414173,861.0,865.5,4.5,5,3,23,854,106,677
852,504,504,990.0,990.0,0.0,272,272,988.5,988.5,0.0,0.009088124170325743,0.009088124170325743,976.0,976.0,0.0,-1,14,59,121,6,815
853,26,128,710.5,937.0,226.5,48,48,741.5,741.5,0.0,0.0007147962830593281,0.0007147962830593281,753.0,753.0,0.0,4,7,4,264,328,627
854,36,242,838.0,982.0,144.0,12,12,741.5,741.5,0.0,0.0009530617107457708,0.001940161339732462,814.0,897.0,83.0,3,2,12,802,179,261
855,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,199.5,199.5,0.0,-1,15,0,104,649,752
856,0,206,166.5,961.0,794.5,0,18,166.5,441.5,275.0,0.0,0.00030634126416828345,204.0,630.0,426.0,3,8,0,158,729,591
857,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,204.5,204.5,0.0,-1,3,0,819,750,792
858,70,70,891.0,891.0,0.0,28,28,831.5,831.5,0.0,0.0015657442390823377,0.0015657442390823377,865.5,865.5,0.0,-1,3,16,901,78,707
859,25,126,716.5,927.0,210.5,26,26,597.5,597.5,0.0,0.0002723033459273631,0.0002723033459273631,626.5,626.5,0.0,5,5,5,408,310,560
860,6,108,553.5,958.5,405.0,8,8,644.0,644.0,0.0,0.00013615167296368154,0.00034037918240920387,532.0,667.0,135.0,4,2,3,890,309,354
861,195,297,966.5,982.0,15.5,70,70,922.5,922.5,0.0,0.004833384390210695,0.004935498144933456,960.0,962.0,2.0,4,5,27,616,25,176
862,0,206,166.5,960.0,793.5,0,28,166.5,489.0,322.5,0.0,0.0002382654276864427,206.0,599.5,393.5,3,10,0,161,965,134
863,0,206,166.0,967.0,801.0,0,12,166.0,495.5,329.5,0.0,0.0004084550188910446,200.0,684.0,484.0,3,4,0,921,254,440
864,0,102,166.5,901.5,735.0,0,10,166.5,391.5,225.0,0.0,0.00030634126416828345,199.0,634.5,435.5,4,6,0,470,915,467
865,8,110,572.0,944.5,372.5,12,12,703.0,703.0,0.0,0.00037441710065012424,0.000442492937131965,672.5,696.5,24.0,4,2,4,939,287,561
866,6,6,535.0,535.0,0.0,8,8,588.5,588.5,0.0,0.0002382654276864427,0.0002382654276864427,618.0,618.0,0.0,-1,2,1,975,168,941
867,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,201.5,201.5,0.0,-1,8,0,365,649,981
868,14,14,673.0,673.0,0.0,8,8,550.0,550.0,0.0,0.00017018959120460194,0.00017018959120460194,566.5,566.5,0.0,-1,2,4,804,443,729
869,46,148,756.5,918.0,161.5,100,100,776.5,776.5,0.0,0.0006126825283365669,0.0007488342013002485,731.5,757.5,26.0,4,12,2,44,770,425
870,0,102,165.0,938.0,773.0,0,4,165.0,464.5,299.5,0.0,0.0002382654276864427,202.0,615.0,413.0,4,2,0,906,657,451
871,14,115,623.5,929.0,305.5,32,32,645.5,645.5,0.0,0.000442492937131965,0.000442492937131965,696.5,696.5,0.0,5,6,6,253,247,225
872,30,30,765.0,765.0,0.0,40,40,793.0,793.0,0.0,0.0005105687736138058,0.0005105687736138058,717.5,717.5,0.0,-1,5,5,766,178,977
873,0,206,166.0,975.0,809.0,0,8,166.0,532.5,366.5,0.0,0.0009870996289866913,195.5,817.0,621.5,3,2,0,752,880,327
874,505,607,985.0,991.0,6.0,248,248,992.0,992.0,0.0,0.010619830491167161,0.010721944245889922,979.0,980.0,1.0,4,11,62,162,70,385
875,0,101,165.5,974.5,809.0,0,2,165.5,385.0,219.5,0.0,0.00010211375472276115,209.5,525.5,316.0,5,2,0,956,696,156
876,10,216,569.5,975.0,405.5,10,10,489.5,489.5,0.0,0.00017018959120460194,0.0009190237925048504,565.0,805.0,240.0,3,3,3,834,347,118
877,174,174,940.5,940.5,0.0,122,122,848.0,848.0,0.0,0.0019061234214915416,0.0019061234214915416,874.5,874.5,0.0,-1,12,21,252,157,760
878,0,616,166.5,993.0,826.5,0,34,166.5,571.0,404.5,0.0,0.002484768031587188,202.0,912.0,710.0,2,8,0,137,673,166
