,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
19,6,212,420,965,545,18,25,420,463,43,0.0,0.00013615167296368154,1,515,514,3,4,4,9,2,180,885,891
20,0,206,1,958,957,0,15,1,404,403,0.0,0.0005786446100956465,1,716,715,3,-1,4,8,0,146,987,315
21,6,212,460,976,516,14,14,592,592,0,0.0002723033459273631,0.0006807583648184077,616,758,142,3,4,4,3,1,882,655,612
22,11,11,612,612,0,16,16,543,543,0,3.4037918240920386e-05,3.4037918240920386e-05,412,412,0,-1,4,4,4,4,619,444,956
23,0,101,1,933,932,0,4,1,332,331,0.0,3.4037918240920386e-05,1,405,404,5,-1,6,4,1,679,583,311
24,0,206,1,976,975,0,8,1,483,482,0.0,0.0007488342013002485,1,775,774,3,-1,4,2,0,972,850,209
25,3,209,445,977,532,4,8,405,496,91,3.4037918240920386e-05,0.0013955546478777359,407,853,446,3,5,4,2,2,907,364,49
26,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,19,0,14,349,800
27,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,21,0,25,502,620
28,7,109,505,919,414,18,18,531,531,0,0.00010211375472276115,0.0002382654276864427,492,596,104,4,4,4,5,2,669,599,666
29,32,648,707,993,286,84,94,769,814,45,0.0006467204465774873,0.003982436434187685,742,946,204,2,3,3,9,5,159,535,51
30,83,185,897,971,74,24,24,712,712,0,0.002144388849177984,0.0024166921951053475,895,906,11,4,4,4,4,20,511,94,354
31,0,101,1,915,914,0,5,1,332,331,0.0,0.0,1,1,0,5,-1,6,5,0,570,969,764
32,0,1640,1,1000,999,0,96,1,739,738,0.0,0.009394465434494027,1,979,978,1,-1,2,12,0,175,587,96
33,36,36,814,814,0,20,20,766,766,0,0.0007147962830593281,0.0007147962830593281,770,770,0,-1,3,3,3,9,748,245,839
34,57,57,841,841,0,42,42,752,752,0,0.0014295925661186562,0.0014295925661186562,855,855,0,-1,3,3,6,13,582,335,915
35,14,220,608,974,366,24,24,626,626,0,0.0002042275094455223,0.0009530617107457708,563,806,243,3,4,4,4,3,445,301,209
36,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,533,836,624
37,0,102,1,945,944,0,4,1,426,425,0.0,0.0002382654276864427,1,607,606,4,-1,5,2,0,998,999,486
38,46,662,819,997,178,40,50,781,842,61,0.0008509479560230097,0.003880322679464924,788,940,152,2,3,3,5,7,538,169,74
39,29,235,716,965,249,62,62,682,682,0,0.00037441710065012424,0.0004765308553728854,666,700,34,3,3,3,10,5,293,510,316
40,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,510,863,800
