,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
72,0,102,13.0,77.0,64.0,0,9,13.0,28.0,15.0,0,2,13.0,28.5,15.5,0.0,0.0004084550188910446,14.5,34.0,19.5,4,7,0,62,99,88
73,478,1078,100.0,100.0,0.0,304,304,100.0,100.0,0.0,304,304,100.0,100.0,0.0,0.03492290411518432,0.036590762108989414,91.0,93.5,2.5,2,10,27,0,10,54
74,40,246,49.0,93.0,44.0,108,108,63.0,63.0,0.0,40,52,49.0,55.0,6.0,0.003642057251778481,0.006875659484665918,50.0,60.0,10.0,3,9,2,31,94,29
75,12,12,33.5,33.5,0.0,48,48,35.5,35.5,0.0,12,12,33.5,33.5,0.0,0.0009190237925048504,0.0009190237925048504,39.0,39.0,0.0,-1,10,3,12,51,96
76,286,902,99.0,100.0,1.0,136,136,98.5,98.5,0.0,136,136,98.5,98.5,0.0,0.046223492971169886,0.055209503386772864,96.0,97.0,1.0,2,4,27,72,10,77
77,188,288,85.0,93.0,8.0,132,132,74.5,74.5,0.0,132,132,79.5,79.5,0.0,0.012968446849790666,0.013002484768031588,71.5,72.0,0.5,4,8,14,27,32,4
78,161,361,94.0,100.0,6.0,32,32,76.5,76.5,0.0,32,32,77.0,77.0,0.0,0.028728002995336805,0.03553558664352088,90.0,95.0,5.0,3,2,29,97,1,19
79,22,1662,48.5,100.0,51.5,44,88,49.5,79.0,29.5,22,88,48.5,79.5,31.0,0.0009530617107457708,0.04115184315327275,40.0,94.0,54.0,1,4,2,83,56,5
80,13,219,41.0,93.0,52.0,18,18,38.5,38.5,0.0,13,18,41.0,45.5,4.5,0.0012253650566731338,0.01684876952925559,39.0,83.0,44.0,3,3,4,58,64,9
81,149,355,84.0,95.0,11.0,190,190,81.0,81.0,0.0,149,190,84.0,88.0,4.0,0.016338200755641786,0.017325300384628477,75.0,78.5,3.5,3,11,12,33,37,64
82,100,100,80.5,80.5,0.0,100,100,99.0,99.0,0.0,100,100,99.0,99.0,0.0,0.07784471901698492,0.07784471901698492,99.0,99.0,0.0,-1,2,3,91,29,67
83,0,1640,13.0,100.0,87.0,0,100,13.0,70.5,57.5,0,100,13.0,75.5,62.5,0.0,0.027740903366350114,14.0,87.0,73.0,1,6,0,44,76,14
84,0,616,13.0,100.0,87.0,0,46,13.0,38.0,25.0,0,46,13.0,50.5,37.5,0.0,0.01494264610776405,13.0,76.0,63.0,2,6,1,71,50,15
85,158,158,94.0,94.0,0.0,46,46,87.5,87.5,0.0,46,46,87.5,87.5,0.0,0.02917049593246877,0.02917049593246877,94.0,94.0,0.0,-1,2,22,99,9,82
86,0,206,13.0,92.0,79.0,0,22,13.0,33.5,20.5,0,13,13.0,39.0,26.0,0.0,0.0020422750944552232,13.0,45.0,32.0,3,5,0,88,66,70
87,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,14.0,14.0,0.0,-1,3,0,60,97,59
88,6,1646,30.5,100.0,69.5,48,114,35.5,60.0,24.5,6,103,30.5,75.0,44.5,0.0005105687736138058,0.01695088328397835,35.5,78.0,42.5,1,10,1,12,49,27
89,126,228,86.0,94.0,8.0,96,96,92.0,92.0,0.0,96,96,92.0,92.0,0.0,0.018040096667687803,0.018278362095374246,84.0,84.0,0.0,4,3,8,64,17,88
90,26,1666,47.0,100.0,53.0,58,96,42.0,57.0,15.0,26,96,47.0,67.0,20.0,0.003948398515946765,0.032336022328874364,50.0,92.0,42.0,1,7,6,43,73,23
91,109,315,81.0,100.0,19.0,28,28,47.5,47.5,0.0,28,28,52.5,52.5,0.0,0.018482589604819768,0.031451036454610434,80.0,94.0,14.0,3,3,17,94,6,23
92,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,14.0,14.0,0.0,-1,6,0,41,40,84
93,59,675,63.0,100.0,37.0,62,62,83.0,83.0,0.0,62,62,83.0,83.0,0.0,0.013376901868681712,0.020456788862793153,76.0,86.0,10.0,2,3,6,55,73,21
94,0,616,13.0,100.0,87.0,0,30,13.0,42.5,29.5,0,16,13.0,43.5,30.5,0.0,0.003437829742332959,13.0,51.0,38.0,2,4,0,47,84,53
95,32,32,51.5,51.5,0.0,64,64,41.5,41.5,0.0,32,32,51.5,51.5,0.0,0.002586881786309949,0.002586881786309949,47.0,47.0,0.0,-1,8,2,57,83,97
96,0,616,12.5,100.0,87.5,0,54,12.5,57.0,44.5,0,54,12.5,59.0,46.5,0.0,0.023111746485584943,13.0,86.0,73.0,2,4,1,79,45,7
97,363,465,98.0,100.0,2.0,152,152,99.5,99.5,0.0,152,152,99.5,99.5,0.0,0.0405731985431771,0.04081146397086354,95.0,95.0,0.0,4,5,29,70,1,63
98,56,262,60.0,96.0,36.0,38,38,57.0,57.0,0.0,38,38,58.5,58.5,0.0,0.007147962830593281,0.008169100377820893,63.0,66.0,3.0,3,3,6,64,34,61
99,0,616,13.0,100.0,87.0,0,78,13.0,36.0,23.0,0,28,13.0,41.0,28.0,0.0,0.002484768031587188,13.5,45.5,32.0,2,14,1,25,50,70
100,73,73,61.0,61.0,0.0,122,122,72.0,72.0,0.0,73,73,61.0,61.0,0.0,0.007216038667075122,0.007216038667075122,62.0,62.0,0.0,-1,8,4,21,22,79
101,132,132,81.0,81.0,0.0,120,120,84.5,84.5,0.0,120,120,86.5,86.5,0.0,0.013479015623404473,0.013479015623404473,73.5,73.5,0.0,-1,6,9,59,27,98
102,100,100,68.0,68.0,0.0,100,100,53.0,53.0,0.0,100,100,68.0,68.0,0.0,0.038939378467612924,0.04237720820994588,94.0,95.0,1.0,3,8,18,42,5,35
103,180,386,92.0,99.0,7.0,104,104,88.0,88.0,0.0,104,104,88.5,88.5,0.0,0.0228734810578985,0.02365635317743967,87.0,87.0,0.0,3,5,16,37,18,64
